Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;91.207.57.97
2;*;*;*;0.0.0.0
3;1;1;1;193.27.15.198
4;1;1;1;149.11.170.113
5;6;6;6;130.117.48.233
6;82;82;82;154.54.47.165
7;82;82;83;154.54.171.66
8;99;99;99;154.54.7.158
9;111;111;113;154.54.47.50
10;172;172;172;154.54.27.154
11;171;171;171;154.54.83.33
12;167;167;167;199.100.8.146
13;*;*;*;0.0.0.0
14;164;163;163;190.27.216.18
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
