YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;91.207.57.97
2;*;*;*;0.0.0.0
3;1;1;1;193.9.115.185
4;4;4;4;146.70.1.222
5;3;3;3;37.120.220.105
6;3;3;3;72.14.209.220
7;4;4;4;142.251.70.73
8;4;4;3;192.178.251.194
9;4;4;4;142.251.238.25
10;14;41;41;172.253.74.201
11;15;15;15;142.251.67.167
12;15;15;15;192.178.251.218
13;14;14;14;142.250.59.231
14;14;14;14;142.251.253.39
15;14;14;14;172.217.20.206
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
