Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;146.70.48.181
2;13;12;12;146.70.1.10
3;1;1;1;146.70.1.18
4;1;1;1;146.70.1.28
5;1;1;3;149.14.149.249
6;1;1;1;154.25.2.237
7;2;2;2;154.54.57.141
8;18;18;18;154.54.62.57
9;83;83;83;154.54.44.166
10;84;83;83;154.54.45.118
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;92;92;92;52.94.236.248
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
