Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;146.70.48.181
2;33;33;32;146.70.1.10
3;1;1;1;146.70.1.16
4;1;1;1;146.70.1.26
5;1;3;3;149.14.149.249
6;1;1;1;154.25.9.169
7;1;1;1;154.54.57.141
8;11;11;11;154.54.75.34
9;80;80;80;154.54.167.69
10;*;*;*;0.0.0.0
11;89;89;89;154.54.171.66
12;102;103;103;154.54.7.158
13;126;128;128;154.54.47.50
14;187;187;187;154.54.27.154
15;191;191;190;154.54.83.33
16;185;192;192;199.100.8.146
17;*;*;*;0.0.0.0
18;184;184;184;190.27.216.18
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
