YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;146.70.48.181
2;35;34;34;146.70.1.10
3;1;1;1;146.70.1.18
4;1;1;1;146.70.1.24
5;1;1;1;213.242.121.117
6;1;1;1;4.68.62.90
7;2;2;2;192.178.109.1
8;1;1;1;192.178.109.2
9;1;1;1;209.85.249.73
10;11;11;11;72.14.239.23
11;12;12;12;142.250.215.204
12;12;12;11;192.178.97.55
13;12;12;12;142.251.54.35
14;11;11;11;142.250.187.206
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
