Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;134.19.161.33
2;10;10;10;134.19.160.225
3;10;10;10;62.115.175.248
4;11;11;11;62.115.127.100
5;80;80;80;62.115.139.244
6;82;82;83;62.115.137.249
7;*;*;*;0.0.0.0
8;*;*;*;0.0.0.0
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;84;83;83;52.94.236.248
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
