Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;213.206.252.1
2;1;1;1;213.207.69.18
3;2;2;2;213.207.69.33
4;3;3;3;149.11.105.25
5;3;3;3;154.54.60.21
6;88;88;88;154.54.56.93
7;11;10;10;154.54.75.38
8;88;88;88;154.54.167.29
9;88;88;88;154.54.40.154
10;82;81;82;154.54.170.69
11;88;88;88;154.54.171.66
12;105;105;105;154.54.7.158
13;112;114;114;154.54.47.50
14;173;173;173;154.54.27.154
15;177;177;177;154.54.83.33
16;185;184;184;199.100.8.146
17;177;177;177;10.5.2.90
18;173;173;173;190.27.216.18
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
