Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;84.16.234.252
2;1;1;1;212.95.37.74
3;*;*;*;0.0.0.0
4;1;1;1;154.54.59.54
5;7;7;7;154.54.72.41
6;17;17;17;154.54.58.69
7;87;87;87;154.54.44.166
8;87;87;87;154.54.45.118
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;97;97;97;52.94.236.248
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
