Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;84.16.234.252
2;1;1;1;212.95.37.74
3;1;1;1;31.31.34.220
4;1;1;1;176.52.253.254
5;9;9;9;213.140.38.95
6;88;92;95;94.142.98.240
7;112;112;111;213.140.35.87
8;164;164;164;176.52.255.184
9;164;164;164;84.16.15.54
10;178;178;178;81.173.106.117
11;*;*;*;0.0.0.0
12;168;168;168;190.27.216.18
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
