Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;2;2;2;81.93.149.229
2;61;61;60;83.218.93.57
3;1;2;2;83.218.93.61
4;1;1;1;83.218.92.16
5;1;1;1;83.218.89.222
6;1;1;1;130.244.21.245
7;6;6;6;91.129.17.212
8;7;6;6;91.129.13.116
9;6;6;6;91.129.12.116
10;7;6;6;91.129.12.45
11;6;6;7;91.129.14.68
12;7;7;7;62.115.171.212
13;7;7;7;62.115.138.112
14;*;*;*;0.0.0.0
15;87;88;88;62.115.137.251
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
