Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;2;2;81.93.149.229
2;1;3;2;83.218.93.57
3;1;2;2;83.218.93.61
4;9;8;8;83.218.92.16
5;1;1;1;83.218.89.222
6;9;8;9;213.158.34.144
7;9;9;9;192.121.80.77
8;9;8;8;129.134.43.116
9;8;8;8;74.119.79.146
10;12;12;11;129.134.119.105
11;8;8;8;31.13.72.36
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
