Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;2;2;81.93.149.229
2;3;3;3;83.218.93.57
3;3;2;2;83.218.93.61
4;1;1;1;83.218.92.16
5;1;1;1;83.218.89.222
6;4;4;3;130.244.21.245
7;6;6;6;91.129.17.212
8;7;7;7;91.129.13.118
9;7;7;7;91.129.12.230
10;7;6;6;91.129.12.45
11;12;12;12;91.129.14.68
12;7;7;7;62.115.171.212
13;2652;7;7;62.115.138.112
14;*;*;*;0.0.0.0
15;89;89;89;62.115.136.201
16;115;115;116;62.115.120.177
17;116;117;116;62.115.142.43
18;178;178;177;62.115.181.33
19;*;*;*;0.0.0.0
20;177;177;177;190.27.216.18
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
