YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;2;2;3;81.93.149.229
2;3;2;3;83.218.93.57
3;2;2;3;83.218.93.61
4;1;1;1;83.218.92.16
5;1;1;1;83.218.89.222
6;1;1;1;130.244.21.245
7;9;8;9;91.129.17.212
8;8;8;8;91.129.13.118
9;8;8;8;91.129.12.230
10;7;7;7;91.129.12.47
11;7;7;7;91.129.12.36
12;24;24;23;91.129.14.128
13;9;9;9;72.14.214.82
14;8;8;8;172.253.71.119
15;8;9;8;172.253.72.119
16;8;8;7;142.250.74.14
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
