Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;23;22;22;46.182.221.1
2;4;3;3;94.124.89.76
3;*;*;*;0.0.0.0
4;3;3;4;84.116.136.146
5;94;95;95;84.116.130.122
6;94;94;94;84.116.130.165
7;95;95;95;99.83.115.234
8;*;*;*;0.0.0.0
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;94;94;94;54.239.28.85
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
