Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;9;7;7;46.182.221.1
2;3;3;3;94.124.89.76
3;3;3;3;91.192.38.135
4;4;4;4;149.29.0.169
5;4;4;4;130.117.50.5
6;83;83;83;130.117.51.41
7;11;11;12;154.54.74.166
8;83;83;83;154.54.94.45
9;83;83;83;154.54.46.34
10;192;191;190;154.54.30.121
11;106;105;105;154.54.172.170
12;*;*;*;0.0.0.0
13;179;179;179;154.54.88.238
14;177;177;176;199.100.8.146
15;*;*;*;0.0.0.0
16;175;175;175;190.27.216.18
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
