Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;188.94.25.49
2;1;1;1;217.114.72.11
3;1;1;1;45.153.83.4
4;9;9;9;94.103.180.46
5;9;9;9;94.103.180.48
6;9;9;9;94.103.180.64
7;9;9;9;94.103.180.12
8;*;*;*;0.0.0.0
9;9;9;9;94.103.180.15
10;8;8;8;213.251.24.72
11;9;9;9;141.136.111.186
12;*;*;*;0.0.0.0
13;83;84;84;130.117.51.41
14;84;83;83;154.54.42.85
15;95;95;95;154.54.30.121
16;106;106;106;154.54.172.170
17;*;*;*;0.0.0.0
18;186;186;186;154.54.88.238
19;191;191;191;199.100.8.146
20;*;*;*;0.0.0.0
21;178;178;178;190.27.216.18
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
