Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;93.93.202.1
2;2;1;1;80.64.177.95
3;2;2;2;109.104.59.104
4;1;1;1;109.104.59.143
5;1;1;1;109.104.59.177
6;4;4;4;109.104.59.156
7;4;4;4;81.95.2.93
8;88;88;88;5.56.18.94
9;89;89;89;206.82.104.99
10;96;96;96;52.93.51.45
11;*;*;*;0.0.0.0
12;89;89;89;52.93.1.177
13;88;88;88;52.93.1.16
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;94;94;94;52.94.236.248
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
