Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;93.93.202.1
2;1;1;1;80.64.177.95
3;2;2;2;109.104.59.104
4;1;1;1;109.104.59.143
5;1;1;1;109.104.59.177
6;7;7;7;109.104.61.53
7;7;7;7;46.33.85.225
8;7;7;7;89.149.180.226
9;*;*;*;0.0.0.0
10;7;7;7;154.54.59.54
11;16;15;16;154.54.72.117
12;91;90;90;154.54.82.2
13;110;110;110;154.54.172.170
14;*;*;*;0.0.0.0
15;181;181;181;154.54.88.238
16;178;178;178;199.100.8.146
17;*;*;*;0.0.0.0
18;173;173;173;190.27.216.18
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
