Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;23.106.60.124
2;1;1;1;23.106.32.6
3;1;1;1;23.106.32.0
4;*;*;*;0.0.0.0
5;1;1;1;154.54.73.242
6;69;69;69;154.54.167.69
7;397;397;397;154.54.170.69
8;91;91;91;154.54.169.178
9;*;*;*;0.0.0.0
10;166;166;166;154.54.168.230
11;167;167;166;199.100.8.146
12;*;*;*;0.0.0.0
13;166;165;166;190.27.216.18
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
