Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;0.0.0.0
2;1;1;1;62.149.185.123
3;1;2;2;217.61.32.144
4;3;3;3;62.149.185.244
5;1;1;1;62.149.185.57
6;*;*;*;0.0.0.0
7;10;11;10;130.117.48.113
8;10;10;10;154.54.76.69
9;19;18;18;154.54.62.218
10;24;24;24;154.54.75.98
11;31;31;31;154.54.72.41
12;40;40;40;154.54.58.69
13;122;125;124;154.54.44.166
14;125;124;124;154.54.45.118
15;124;124;123;38.104.155.194
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
