Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;0.0.0.0
2;1;1;1;62.149.185.123
3;134;133;133;217.61.32.120
4;8;8;10;62.149.185.141
5;9;9;9;217.61.32.116
6;*;*;*;0.0.0.0
7;9;9;9;154.25.13.209
8;9;9;9;154.54.62.146
9;18;18;18;154.54.61.166
10;28;29;28;154.54.39.225
11;99;99;99;154.54.47.137
12;116;116;116;154.54.169.178
13;130;130;130;154.54.47.50
14;192;192;192;154.54.168.230
15;200;200;200;199.100.8.146
16;*;*;*;0.0.0.0
17;194;194;194;190.27.216.18
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
