Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;51.159.31.1
2;1;1;1;51.158.3.70
3;1;1;1;51.158.53.78
4;*;*;*;0.0.0.0
5;1;1;1;154.54.39.234
6;12;12;12;154.54.72.226
7;11;11;11;149.11.240.74
8;11;11;11;129.134.107.70
9;*;*;*;0.0.0.0
10;14;15;15;129.134.94.135
11;11;11;11;157.240.196.35
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
