Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;51.159.31.1
2;1;1;1;51.158.3.70
3;1;1;1;51.158.53.70
4;*;*;*;0.0.0.0
5;1;1;1;130.117.48.214
6;77;77;77;154.54.47.165
7;95;95;94;154.54.169.178
8;*;*;*;0.0.0.0
9;169;169;169;154.54.168.230
10;170;170;169;199.100.8.146
11;*;*;*;0.0.0.0
12;168;168;168;190.27.216.18
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
