Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;212.66.107.212
2;2;1;1;212.66.96.126
3;1;1;2;77.39.192.245
4;3;2;2;77.39.192.33
5;2;2;1;77.39.192.38
6;2;1;1;213.254.218.81
7;99;98;98;89.149.186.217
8;*;*;*;0.0.0.0
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;106;105;105;54.239.28.85
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
