Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;212.66.107.212
2;1;1;1;212.66.96.126
3;1;1;1;77.39.192.253
4;1;1;1;77.39.192.34
5;12;12;12;77.39.192.50
6;25;25;25;217.29.66.156
7;11;11;11;129.134.75.6
8;12;12;12;173.252.66.208
9;16;16;15;129.134.94.96
10;11;11;11;31.13.86.36
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
