Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;212.66.107.212
2;1;1;1;212.66.96.126
3;1;1;1;77.39.192.253
4;1;1;1;77.39.192.38
5;11;11;11;77.39.192.46
6;12;11;11;149.29.28.193
7;11;11;11;154.25.8.201
8;11;11;11;154.54.77.45
9;20;19;19;154.54.61.166
10;31;31;31;154.54.39.225
11;101;101;101;154.54.47.137
12;119;119;119;154.54.169.178
13;*;*;*;0.0.0.0
14;194;194;194;154.54.168.230
15;196;196;195;199.100.8.146
16;*;*;*;0.0.0.0
17;194;194;194;190.27.216.18
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
