Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;3;1;1;143.255.58.129
2;1;1;1;143.255.57.50
3;2;2;2;187.188.69.249
4;27;26;26;187.188.50.21
5;*;*;*;0.0.0.0
6;*;*;*;0.0.0.0
7;*;*;*;0.0.0.0
8;*;*;*;0.0.0.0
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;55;55;55;52.94.236.248
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
