YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;6;5;143.255.58.129
2;1;1;1;187.247.254.5
3;38;38;38;10.3.2.229
4;35;35;35;10.3.22.163
5;37;37;37;10.3.0.219
6;31;31;31;10.3.0.184
7;*;*;*;0.0.0.0
8;31;31;31;10.3.26.143
9;12;12;13;142.250.162.212
10;13;12;13;142.251.250.99
11;12;11;11;192.178.80.207
12;11;11;11;192.178.56.238
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
