Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;10;10;9;107.6.254.89
2;2;1;1;10.32.253.2
3;1;1;1;10.32.252.1
4;1;1;1;10.32.252.0
5;*;*;*;0.0.0.0
6;49;49;49;154.54.87.69
7;59;58;58;154.54.45.161
8;67;67;67;154.54.166.69
9;79;79;78;154.54.165.29
10;85;85;85;154.54.41.54
11;*;*;*;0.0.0.0
12;172;172;171;154.54.88.238
13;175;174;174;199.100.8.146
14;*;*;*;0.0.0.0
15;171;171;171;190.27.216.18
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
