Whatsapp;;;;
#;Tiempo de respuesta;;;Direccion ip
1;130;129;129;107.6.254.89
2;1;1;1;10.32.253.2
3;1;1;1;10.32.252.1
4;1;2;2;10.32.252.0
5;*;*;*;0.0.0.0
6;49;49;49;154.54.87.69
7;66;65;65;154.54.45.161
8;67;67;67;154.54.166.69
9;79;79;78;154.54.165.29
10;86;85;85;154.54.41.54
11;93;93;93;154.54.40.109
12;93;93;93;154.54.6.118
13;93;94;93;38.142.131.226
14;93;92;92;129.134.100.134
15;93;93;93;173.252.65.164
16;97;97;96;129.134.114.169
17;93;93;93;31.13.65.49
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
