YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;14;14;13;107.6.254.89
2;1;1;1;10.32.253.2
3;1;1;1;10.32.252.1
4;1;1;1;184.105.148.129
5;46;46;46;184.104.193.233
6;*;*;*;0.0.0.0
7;48;48;48;206.72.210.41
8;49;48;48;108.170.252.101
9;48;48;48;142.251.60.131
10;48;48;48;142.250.189.14
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
