Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;142.44.137.252
2;1;1;1;10.50.49.61
3;1;1;1;10.34.82.20
4;1;1;1;10.74.8.160
5;1;1;1;10.95.81.8
6;4;4;4;142.44.208.172
7;3;3;4;10.200.3.3
8;*;*;*;0.0.0.0
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;14;14;14;205.251.242.103
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
