Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;6;5;142.44.137.252
2;1;1;1;10.50.49.61
3;1;1;1;10.34.82.22
4;1;1;1;10.74.8.164
5;1;1;1;10.95.81.8
6;10;10;9;192.99.146.162
7;10;10;10;10.200.5.3
8;8;8;8;157.240.92.118
9;7;7;7;129.134.40.192
10;7;7;7;173.252.65.29
11;10;9;9;129.134.58.158
12;7;7;7;31.13.80.36
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
