Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;142.44.137.252
2;1;1;1;10.50.49.60
3;1;1;1;10.34.82.16
4;1;1;1;10.74.8.160
5;1;1;1;10.95.81.8
6;2;4;3;142.44.208.172
7;2;4;4;10.200.3.1
8;*;*;*;0.0.0.0
9;2;2;2;154.54.45.117
10;30;30;30;154.54.43.22
11;9;9;9;154.54.90.101
12;14;14;14;154.54.30.121
13;27;28;28;154.54.172.170
14;92;92;92;154.54.82.246
15;105;105;105;154.54.88.238
16;94;94;94;199.100.8.146
17;*;*;*;0.0.0.0
18;93;93;93;190.27.216.18
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
