Whatsapp;;;;
#;Tiempo de respuesta;;;Direccion ip
1;2;1;1;142.44.137.252
2;1;1;1;10.50.49.60
3;1;1;1;10.34.82.16
4;1;1;1;10.74.8.162
5;31;31;31;10.95.81.10
6;8;10;10;192.99.146.49
7;10;11;11;10.200.5.7
8;47;47;46;157.240.92.118
9;7;7;7;129.134.40.192
10;7;7;7;173.252.65.70
11;10;10;10;163.77.190.200
12;7;7;7;31.13.80.53
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
