Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;172.96.165.73
2;1;1;1;31.217.251.4
3;1;1;1;206.148.25.138
4;1;1;1;198.32.118.208
5;8;8;7;150.222.68.28
6;11;13;13;150.222.68.31
7;*;*;*;0.0.0.0
8;1;1;1;150.222.68.10
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;7;7;6;52.94.236.248
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
