Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;9;172.96.165.73
2;1;1;1;31.217.251.4
3;1;1;1;206.148.25.138
4;1;1;1;206.148.25.111
5;1;1;1;38.32.103.97
6;1;1;1;154.54.47.121
7;6;6;6;154.54.30.121
8;22;22;22;154.54.172.170
9;*;*;*;0.0.0.0
10;98;98;98;154.54.88.238
11;103;103;103;199.100.8.146
12;*;*;*;0.0.0.0
13;98;98;98;190.27.216.18
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
