Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;71.6.199.1
2;15;14;14;216.98.153.83
3;168;167;167;216.98.153.34
4;*;*;*;0.0.0.0
5;8;8;8;154.54.83.218
6;17;17;17;154.54.166.57
7;28;28;28;154.54.165.25
8;32;31;31;154.54.28.74
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;60;60;60;52.94.236.248
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
