Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;71.6.199.1
2;1;1;1;216.98.153.83
3;8;8;8;216.98.153.34
4;*;*;*;0.0.0.0
5;8;8;8;154.54.83.218
6;17;17;17;154.54.166.57
7;28;28;28;154.54.165.25
8;33;33;33;154.54.171.2
9;34;34;34;154.54.3.246
10;85;85;84;38.142.241.122
11;33;33;33;129.134.34.94
12;33;33;33;129.134.93.103
13;36;36;36;129.134.92.189
14;33;33;33;157.240.24.35
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
