Netflix;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;71.6.199.1
2;1;1;1;216.98.153.83
3;1;1;1;216.98.153.34
4;*;*;*;0.0.0.0
5;8;9;8;154.54.83.218
6;17;17;17;154.54.166.57
7;28;28;28;154.54.165.25
8;28;28;28;154.54.28.74
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
