Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;17;16;71.6.199.1
2;5;4;4;216.98.153.83
3;3;3;4;12.244.208.233
4;*;*;*;0.0.0.0
5;*;*;*;0.0.0.0
6;*;*;*;0.0.0.0
7;*;*;*;0.0.0.0
8;*;*;*;0.0.0.0
9;4;4;4;154.54.3.69
10;61;60;60;154.54.45.161
11;20;20;20;154.54.166.69
12;31;32;31;154.54.165.29
13;426;425;425;154.54.41.54
14;*;*;*;0.0.0.0
15;124;123;124;154.54.88.238
16;127;127;126;199.100.8.146
17;*;*;*;0.0.0.0
18;122;122;122;190.27.216.18
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
