Whatsapp;;;;
#;Tiempo de respuesta;;;Direccion ip
1;19;18;18;71.6.199.1
2;1;1;1;216.98.153.83
3;1;1;1;216.98.153.34
4;*;*;*;0.0.0.0
5;8;8;8;154.54.83.218
6;17;17;17;154.54.166.57
7;28;28;28;154.54.165.25
8;35;35;35;154.54.40.250
9;43;43;43;154.54.29.133
10;42;43;42;154.54.6.102
11;45;45;44;38.142.131.226
12;44;44;44;129.134.100.134
13;45;45;45;173.252.66.11
14;48;48;47;163.77.252.178
15;45;45;45;31.13.65.49
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
