Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;3;2;3;173.0.59.113
2;1;1;1;10.20.31.1
3;1;1;1;216.244.89.2
4;1;1;1;216.244.88.176
5;1;1;1;38.142.48.25
6;21;22;21;154.54.86.109
7;31;31;31;154.54.45.165
8;46;46;46;154.54.162.106
9;46;46;46;154.54.47.214
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;72;71;71;54.239.28.85
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
