Netflix;;;;
#;Tiempo de respuesta;;;Direccion ip
1;80;79;79;173.0.59.113
2;1;1;1;10.20.31.1
3;1;1;1;216.244.89.2
4;1;1;1;216.244.88.176
5;2;2;2;216.244.88.169
6;1;1;1;206.81.80.147
7;1;1;3;150.222.214.181
8;1;1;1;52.95.52.23
9;*;*;*;0.0.0.0
10;7;7;7;108.166.228.8
11;*;*;*;0.0.0.0
12;7;7;7;108.166.240.12
13;8;8;8;108.166.240.28
14;7;7;7;108.166.240.60
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
