Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;5;4;4;173.0.59.113
2;1;1;1;10.20.31.1
3;1;1;1;216.244.89.2
4;1;1;1;216.244.88.176
5;1;2;1;38.142.48.25
6;21;21;21;154.54.86.109
7;30;31;30;154.54.45.165
8;46;46;46;154.54.162.106
9;53;53;53;154.54.41.54
10;*;*;*;0.0.0.0
11;139;139;138;154.54.88.238
12;145;145;145;199.100.8.146
13;138;138;138;10.5.2.90
14;138;138;138;190.27.216.18
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
