Whatsapp;;;;
#;Tiempo de respuesta;;;Direccion ip
1;3;3;3;173.0.59.113
2;1;1;1;10.20.31.1
3;1;1;1;216.244.89.2
4;8;7;7;216.244.88.176
5;186;186;186;216.244.88.169
6;66;66;66;206.81.80.211
7;1;1;1;157.240.105.126
8;1;1;1;173.252.66.181
9;5;5;4;129.134.92.184
10;1;1;1;157.240.3.54
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
