YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;3;3;3;173.0.59.113
2;1;1;1;10.20.31.1
3;1;1;1;216.244.89.2
4;1;1;1;216.244.88.176
5;1;1;1;38.142.48.25
6;18;18;18;154.54.0.241
7;20;20;20;154.54.43.14
8;*;*;*;0.0.0.0
9;23;22;23;192.178.71.230
10;20;20;19;192.178.87.165
11;23;23;24;192.178.87.150
12;20;20;20;142.250.234.60
13;22;23;23;142.250.63.134
14;21;21;21;216.239.57.120
15;22;22;22;72.14.235.49
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
