Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;209.133.222.181
2;1;1;1;10.253.253.174
3;5;5;5;10.253.0.21
4;19;18;18;10.253.243.16
5;1;1;1;10.253.0.33
6;1;1;1;10.254.0.122
7;6;6;6;10.254.0.226
8;7;7;8;206.41.108.16
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;29;29;29;54.239.28.85
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
