Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;209.133.222.181
2;1;1;1;10.253.253.174
3;11;11;11;10.253.0.21
4;12;13;12;10.253.243.16
5;1;1;1;10.253.0.33
6;1;1;1;10.254.0.122
7;7;7;7;10.254.0.226
8;24;24;24;38.88.57.244
9;25;25;25;154.54.90.137
10;23;23;24;154.54.168.85
11;9;9;9;38.104.95.122
12;9;9;9;129.134.64.160
13;9;9;9;157.240.58.178
14;12;12;11;129.134.61.145
15;9;8;9;31.13.67.35
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
