Netflix;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;209.133.222.181
2;1;1;1;10.253.253.174
3;12;12;11;10.253.0.5
4;14;14;13;10.253.243.18
5;12;12;12;10.253.0.33
6;1;1;1;10.254.0.122
7;6;6;5;10.254.0.226
8;5;5;5;198.32.243.232
9;12;12;12;52.93.37.135
10;6;6;6;52.93.37.22
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
