Pinterest;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;209.133.222.181
2;1;1;1;10.253.253.172
3;18;18;18;10.253.0.17
4;13;13;13;10.253.243.18
5;1;1;1;10.253.0.37
6;1;1;1;10.254.0.126
7;6;6;6;10.254.0.226
8;16;16;16;10.254.0.18
9;19;18;18;10.253.48.1
10;19;19;18;206.126.110.215
11;18;18;18;151.101.128.84
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
