Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;209.133.222.181
2;1;1;1;10.253.253.174
3;16;18;18;10.253.0.5
4;9;9;8;10.253.243.14
5;1;1;1;10.253.0.45
6;1;1;1;10.254.0.186
7;2;4;4;38.104.150.73
8;1;1;1;154.24.32.221
9;7;7;8;154.54.88.89
10;*;*;*;0.0.0.0
11;71;71;70;154.54.88.238
12;70;70;70;199.100.8.146
13;*;*;*;0.0.0.0
14;70;70;70;190.27.216.18
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
