Whatsapp;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;209.133.222.181
2;1;1;1;10.253.253.174
3;12;12;12;10.253.0.5
4;15;15;15;10.253.243.14
5;1;1;1;10.253.0.41
6;7;7;7;10.254.0.6
7;6;6;6;213.248.102.242
8;14;15;15;62.115.113.58
9;*;*;*;0.0.0.0
10;31;32;32;62.115.113.75
11;39;39;39;62.115.140.109
12;*;*;*;0.0.0.0
13;38;38;38;62.115.123.242
14;76;76;76;62.115.167.217
15;*;*;*;0.0.0.0
16;60;60;60;129.134.116.90
17;64;64;64;129.134.62.203
18;67;67;67;157.240.26.54
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
