YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;209.133.222.181
2;1;1;1;10.253.253.172
3;11;11;22;10.253.0.17
4;16;16;16;10.253.243.18
5;1;1;1;10.253.0.33
6;1;1;1;10.254.0.4
7;1;1;1;76.74.108.121
8;6;6;6;213.200.113.146
9;5;5;5;72.14.210.140
10;17;17;17;192.178.96.217
11;17;17;17;192.178.96.238
12;17;18;18;209.85.246.13
13;17;17;17;142.250.226.240
14;16;16;16;209.85.240.92
15;17;17;17;209.85.247.91
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;16;16;16;74.125.136.136
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
