Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;55;33;162;71.19.249.252
2;179;197;203;97.107.179.16
3;217;237;235;173.205.56.221
4;243;242;241;213.254.230.165
5;255;261;259;209.120.244.110
6;*;*;*;0.0.0.0
7;*;*;*;0.0.0.0
8;*;*;*;0.0.0.0
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;83;85;107;52.94.236.248
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
