Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;71.19.249.252
2;1;1;1;97.107.179.16
3;2;1;1;97.107.176.31
4;1;1;1;38.142.0.57
5;5;5;5;154.54.1.5
6;25;25;25;154.54.167.145
7;34;34;34;154.54.167.138
8;49;49;49;154.54.162.102
9;56;56;56;154.54.40.250
10;80;80;80;154.54.3.146
11;140;140;140;154.54.27.154
12;140;140;140;154.54.83.33
13;152;152;152;199.100.8.146
14;*;*;*;0.0.0.0
15;147;146;146;190.27.216.18
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
