Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;49.50.246.153
2;1;1;1;114.23.4.240
3;2;2;2;43.240.33.126
4;2;2;2;43.240.33.130
5;2;2;2;43.240.33.133
6;1;2;2;43.240.33.39
7;2;2;1;122.56.118.157
8;2;2;1;122.56.119.53
9;136;136;136;122.56.127.66
10;126;126;126;62.115.145.204
11;*;*;*;0.0.0.0
12;153;153;153;62.115.139.113
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;195;194;194;62.115.138.65
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
