YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;2;1;1;49.50.246.153
2;1;1;1;114.23.4.240
3;25;26;26;43.240.33.126
4;25;25;25;43.240.33.58
5;26;25;25;43.240.33.0
6;25;25;24;43.240.33.17
7;29;28;27;218.100.52.3
8;25;25;24;192.178.97.209
9;25;25;25;209.85.253.181
10;25;25;25;172.217.167.110
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
