Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;23;23;23;43.245.161.97
2;17;17;17;103.76.165.42
3;1;1;1;103.76.165.70
4;*;*;*;0.0.0.0
5;*;*;*;0.0.0.0
6;*;*;*;0.0.0.0
7;234;234;234;195.22.206.63
8;*;*;*;0.0.0.0
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;240;241;241;54.239.28.85
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
