Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;43.245.161.97
2;127;127;127;103.76.165.42
3;1;1;1;103.76.165.70
4;*;*;*;0.0.0.0
5;*;*;*;0.0.0.0
6;*;*;*;0.0.0.0
7;*;*;*;0.0.0.0
8;225;224;224;154.54.166.57
9;231;231;231;154.54.165.25
10;243;243;243;154.54.40.250
11;272;272;272;154.54.3.146
12;333;333;333;154.54.27.154
13;327;327;326;154.54.83.33
14;274;274;274;199.100.8.146
15;*;*;*;0.0.0.0
16;280;280;280;190.27.216.18
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
