Netflix;;;;
#;Tiempo de respuesta;;;Direccion ip
1;2;3;3;168.205.95.1
2;1;1;1;10.255.15.1
3;2;2;2;201.216.205.198
4;2;2;2;10.246.33.6
5;1;1;1;10.246.1.146
6;1;2;2;200.51.217.105
7;11;11;10;213.140.39.119
8;1;1;1;213.140.39.118
9;25;25;25;94.142.98.225
10;119;119;119;94.142.98.131
11;*;*;*;0.0.0.0
12;119;119;119;84.16.11.173
13;120;120;120;52.93.236.124
14;120;119;119;52.93.37.44
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
