Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;2;1;2;168.205.95.1
2;1;1;1;10.255.15.1
3;2;2;2;201.216.205.198
4;2;1;2;10.246.33.6
5;5;5;4;10.246.1.146
6;2;2;2;200.51.217.105
7;2;1;2;213.140.39.119
8;2;1;1;213.140.39.118
9;28;28;28;5.53.7.255
10;115;115;115;213.140.36.29
11;130;130;129;213.140.36.26
12;147;147;147;84.16.15.34
13;150;150;150;81.173.106.117
14;*;*;*;0.0.0.0
15;165;165;165;190.27.216.18
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
