Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;185.50.105.195
2;1;1;1;109.200.219.21
3;1;1;1;109.200.219.19
4;1;1;1;84.16.9.20
5;123;122;122;94.142.97.246
6;123;123;123;213.140.36.29
7;123;123;123;213.140.36.26
8;123;123;123;84.16.15.35
9;127;127;127;81.173.106.117
10;*;*;*;0.0.0.0
11;145;145;145;190.27.216.18
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
